Waypoint(Transform(Location(x=639.384583, y=-264.676910, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=641.230713, y=-265.446136, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=643.076904, y=-266.215393, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=644.923035, y=-266.984619, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=646.769226, y=-267.753845, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=648.615356, y=-268.523071, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=650.461487, y=-269.292297, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=652.307678, y=-270.061523, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=654.153809, y=-270.830750, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=656.000000, y=-271.600006, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=657.846130, y=-272.369232, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=659.692261, y=-273.138458, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=661.538452, y=-273.907684, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=663.384583, y=-274.676910, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=665.230713, y=-275.446136, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=667.076904, y=-276.215393, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=668.923035, y=-276.984619, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=670.769226, y=-277.753845, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=672.615356, y=-278.523071, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=674.461487, y=-279.292297, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=676.307678, y=-280.061523, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=678.153809, y=-280.830750, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=680.000000, y=-281.600006, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=681.846130, y=-282.369232, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=683.692261, y=-283.138458, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=685.538452, y=-283.907684, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=687.384583, y=-284.676910, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=689.230713, y=-285.446136, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=691.076904, y=-286.215393, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=692.923035, y=-286.984619, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=694.769226, y=-287.753845, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=696.615356, y=-288.523071, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=698.461487, y=-289.292297, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=700.307678, y=-290.061523, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=702.153809, y=-290.830750, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=704.000000, y=-291.600006, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=705.846130, y=-292.369232, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=707.692261, y=-293.138458, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=709.538452, y=-293.907684, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=711.384583, y=-294.676910, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=713.230713, y=-295.446136, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=715.076904, y=-296.215393, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=716.923035, y=-296.984619, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=718.769226, y=-297.753845, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=720.615356, y=-298.523071, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=722.461487, y=-299.292297, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=724.307678, y=-300.061523, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=726.153809, y=-300.830750, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=728.000000, y=-301.600006, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=729.846130, y=-302.369232, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=731.692261, y=-303.138458, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=733.538452, y=-303.907684, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=735.384583, y=-304.676910, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=737.230713, y=-305.446136, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=739.076904, y=-306.215393, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=740.923035, y=-306.984619, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=742.769226, y=-307.753845, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
